month_date,flow_rate_30,flow_rate_60,flow_rate_90,flow_rate_120,flow_rate_150,flow_rate_180,flow_rate_gco,grade
2007-08-01,0.0,,,,,,,A
2007-09-01,0.0,,,,,,,A
2007-10-01,0.0,,,,,,,A
2007-11-01,0.0,,,,,,,A
2007-12-01,0.0,,,,,,,A
2008-01-01,0.0,,,,,,,A
2008-02-01,0.0,,,,,,,A
2008-03-01,0.0,,,,,,,A
2008-04-01,0.0,,,,,,,A
2008-05-01,0.0,,,,,,,A
2008-06-01,0.0,,,,,,,A
2008-07-01,0.0,,,,,,,A
2008-08-01,0.0,,,,,,,A
2008-09-01,0.0,,,,,,,A
2008-10-01,0.0,,,,,,,A
2008-11-01,0.0,,,,,,,A
2008-12-01,0.0,,,,,,,A
2009-01-01,0.0,,,,,,,A
2009-02-01,0.0,,,,,,,A
2009-03-01,0.0,,,,,,,A
2009-04-01,0.0,,,,,,,A
2009-05-01,0.004180156345289847,,,,,,,A
2009-06-01,0.000493108645099655,0.9649220852410727,,,,,,A
2009-07-01,0.00023810293592355436,0.9503620017378186,0.9633770811229001,,,,,A
2009-08-01,0.0,0.9441570025582878,0.9474320554592849,0.9617026996672309,,,,A
2009-09-01,0.0,,,0.9441570025582877,0.9598820323588074,,,A
2009-10-01,0.002401183817324922,,,,0.9404721354803995,0.9578950901142124,,A
2009-11-01,0.001307534828920716,0.9650456396486524,,,,0.9362954913271446,0.955718068239182,A
2009-12-01,0.0,0.9644509023975145,0.9635133754363042,,,,0.9315216892331499,A
2010-01-01,0.0035139211284630637,,0.9628491481555448,0.9618533575190511,,,,A
2010-02-01,0.0009941665469015296,0.9662774261463861,,0.9611106340370776,0.9600489654390744,,,A
2010-03-01,0.0007718957298375537,0.9645270921340356,0.9648345501348777,,0.9592171253354107,0.9580805650450309,,A
2010-04-01,0.006226380920925897,0.9530146130118853,0.9629871107121301,0.9632750778975561,,0.957146994863745,0.9559247929864484,A
2010-05-01,0.0020784877057774803,0.9523136317342432,0.9503369928495727,0.9613185146873202,0.9615843339974496,,0.9548743955255168,A
2010-06-01,0.0009597523548043007,0.9615608623686465,0.9495556423239664,0.9473588616813875,0.9595045281829998,0.9597450723508738,,A
2010-07-01,0.00045539234706534,0.9568821015376479,0.9597230067281091,0.9464831331364347,0.94402671795225,0.9575253251656813,0.9577368875843247,A
2010-08-01,0.001489427339998591,0.962486965362969,0.954615634108762,0.9577164565502555,0.9430391507140701,0.9402735587001441,0.9553573032171638,A
2010-09-01,0.0014799245133277296,0.9607905033810689,0.960723993746368,0.9521166005024635,0.9555169336387194,0.9391521074455426,0.9360143338279905,A
2010-10-01,0.0006394030491547331,0.9661555523298527,0.958901063057497,0.9588027042007683,0.9493473450372877,0.9530952663157837,0.9347307586068639,A
2010-11-01,0.0005402939798137129,0.9704586535188676,0.9647239659540121,0.9568356810556966,0.9567008338078418,0.9462616189993114,0.9504160910940707,A
2010-12-01,0.0008947826311212922,0.9420630422779128,0.9693261253222458,0.9631772466694208,0.9545686422833904,0.954391740207548,0.9428019811768897,A
